# DTStamp_FHdata_calc_accn_t (tangential acceleration) 2023-06-04 23:57:15 182809463 
# N[1] rtime[2], u[3], u_next[4], curr_alpha[5], curr_beta[6], curr_norm_accn[7], min_tang_accn[8], curr_tang_accn[9], max_tang_accn[10] eps[11] rho[12] check_tang_accn[13] 
     0     0.000000  0.000000000  0.000063619  0.000000000 -1.000000000  0.000000000000000000          -nan   0.000000000          -nan  0.000000214651452    22.222222  0.000000000000000 
     1     0.001000  0.000063619  0.000063619 -0.001465676 -0.999998926 -0.000000000000001776 -30.000032223  26.036137529  30.000032223  0.000000214665145    22.222221 26.036137528578788 
     2     0.002000  0.000127238  0.000063619 -0.002931349 -0.999995704  0.000000000000003553 -30.000128893   2.035715765  30.000128893  0.000000214678908    22.222218  2.035715764958694 
     3     0.003000  0.000190857  0.000063619 -0.004397016 -0.999990333  0.000000000000000000 -30.000290010   2.172854774  30.000290010  0.000000214692743    22.222213  2.172854774000609 
     4     0.004000  0.000254476  0.000063619 -0.005862674 -0.999982814 -0.000000000000007105 -30.000515577   2.317334501  30.000515577  0.000000214706649    22.222206  2.317334500894562 
     5     0.005000  0.000318095  0.000063619 -0.007328319 -0.999973148  0.000000000000000000 -30.000805596   2.469399868  30.000805596  0.000000214720625    22.222197  2.469399867727387 
     6     0.006000  0.000381714  0.000063619 -0.008793949 -0.999961332  0.000000000000000000 -30.001160070   2.629293352  30.001160070  0.000000214734673    22.222185  2.629293352219890 
     7     0.007000  0.000445333  0.000063619 -0.010259561 -0.999947369  0.000000000000000000 -30.001579004   2.797254130  30.001579004  0.000000214748792    22.222172  2.797254130471959 
     8     0.008000  0.000508953  0.000063619 -0.011725152 -0.999931258 -0.000000000000014211 -30.002062401   2.973517197  30.002062401  0.000000214762982    22.222157  2.973517197104911 
     9     0.009000  0.000572572  0.000063619 -0.013190719 -0.999912999  0.000000000000000000 -30.002610266   3.158312433  30.002610266  0.000000214777243    22.222139  3.158312432816522 
    10     0.010000  0.000636191  0.000063620 -0.014656258 -0.999892591  0.000000000000000000 -30.003222608   3.351863697  30.003222608  0.000000214791575    22.222120  3.351863697105537 
    11     0.011000  0.000699811  0.000063620 -0.016121767 -0.999870036  0.000000000000000000 -30.003899431   3.554387850  30.003899431  0.000000214805978    22.222098  3.554387849903209 
    12     0.012000  0.000763431  0.000063620 -0.017587242 -0.999845332  0.000000000000000000 -30.004640743   3.766093788  30.004640743  0.000000214820453    22.222074  3.766093787865452 
    13     0.013000  0.000827050  0.000063620 -0.019052681 -0.999818481 -0.000000000000028422 -30.005446553   3.987181481  30.005446553  0.000000214834998    22.222049  3.987181481396422 
    14     0.014000  0.000890670  0.000063620 -0.020518081 -0.999789482  0.000000000000028422 -30.006316869   4.217840960  30.006316869  0.000000214849615    22.222021  4.217840960098300 
